Group,AssessmentPeriod,The scientist's work sounds like fun,I enjoy science classes,I'm good at science,I want to be a scientist in the future,I'll probably go to do some college science course,The science classes I have in school will help me in the future,I generally understand what is taught in science classes,Learning new things will never change your intelligence,I can get smarter if I study hard,Only very good students will go to any science course in college,I'm good at science classes because I'm smart,I don't do well in science classes because I'm not smart,I donâ€™t want to be a scientist in the future,"For me, it's more important to learn new things in class than to get good grades in exams.",Understanding what is taught is more important than memorizing what is taught
CTRL,BEFORE,1,3,4,3,3,5,3,1,5,1,4,2,4,3,3
CTRL,BEFORE,2,3,5,4,3,5,3,4,5,3,4,2,4,3,2
CTRL,BEFORE,2,4,4,4,3,5,3,1,5,1,4,1,4,1,3
CTRL,BEFORE,5,3,4,3,2,5,3,5,5,2,4,2,2,2,2
CTRL,BEFORE,1,3,4,4,2,5,3,1,5,1,2,1,2,3,3
CTRL,BEFORE,3,3,2,5,2,5,4,4,5,,3,3,1,4,3
CTRL,BEFORE,3,2,1,4,3,5,1,5,5,1,2,1,4,1,2
CTRL,BEFORE,4,3,3,2,3,4,2,5,5,4,3,3,1,5,2
CTRL,BEFORE,1,3,5,2,4,,3,,5,2,4,2,3,3,3
CTRL,BEFORE,5,4,5,2,4,5,3,1,5,1,4,1,4,4,3
CTRL,BEFORE,3,3,4,,4,5,5,5,5,5,5,,1,5,2
CTRL,BEFORE,1,,1,4,5,5,1,3,4,,4,3,4,,2
CTRL,BEFORE,1,1,1,1,5,5,5,1,5,1,1,1,5,1,4
CTRL,BEFORE,4,4,5,1,,4,,4,5,,5,,1,4,3
CTRL,BEFORE,4,3,5,3,3,5,4,5,5,3,4,1,3,5,4
CTRL,BEFORE,4,3,4,5,1,4,3,1,5,1,3,3,1,5,2
CTRL,BEFORE,2,,3,1,1,4,1,1,4,1,4,1,1,2,3
CTRL,BEFORE,2,3,5,3,4,5,4,1,5,3,4,1,5,5,2
CTRL,BEFORE,1,3,3,5,4,5,3,4,1,4,4,5,1,4,3
CTRL,BEFORE,4,1,5,4,1,4,2,1,5,3,4,2,1,1,2
CTRL,BEFORE,2,4,3,3,2,5,3,5,5,2,4,2,3,5,3
CTRL,BEFORE,1,3,4,1,3,4,3,1,5,1,4,1,1,4,3
CTRL,BEFORE,4,3,5,1,2,4,3,1,5,3,4,1,1,2,4
CTRL,BEFORE,1,3,5,1,3,5,4,1,5,3,1,1,5,5,2
CTRL,BEFORE,3,3,3,1,4,5,3,4,5,1,3,1,1,5,2
CTRL,BEFORE,3,3,3,1,3,5,3,,5,1,3,3,4,5,3
CTRL,BEFORE,4,3,1,1,1,5,3,1,,5,3,3,1,5,2
CTRL,BEFORE,3,3,4,2,3,4,4,5,5,1,4,2,4,4,3
CTRL,BEFORE,1,4,3,5,2,5,3,1,5,2,2,2,1,3,3
CTRL,BEFORE,4,2,1,1,1,2,3,3,5,4,2,4,1,5,3
CTRL,BEFORE,2,4,3,3,3,5,3,5,5,3,3,3,3,4,2
CTRL,BEFORE,1,4,3,3,2,4,3,1,5,3,3,3,3,3,3
CTRL,BEFORE,3,4,3,3,2,3,1,1,3,2,3,3,1,3,2
CTRL,BEFORE,4,5,3,2,3,5,3,1,5,4,4,5,4,4,4
CTRL,BEFORE,1,5,3,3,2,5,3,2,5,1,4,2,3,3,3
CTRL,BEFORE,4,4,4,2,1,5,3,5,5,1,,1,4,1,4
CTRL,BEFORE,2,4,3,3,2,5,4,5,5,5,1,,,5,4
CTRL,BEFORE,4,4,4,1,4,5,3,5,5,1,1,1,5,5,2
CTRL,BEFORE,1,4,4,4,4,5,3,1,5,3,4,2,4,4,2
CTRL,BEFORE,2,3,3,5,2,5,4,5,5,1,4,4,4,4,2
CTRL,BEFORE,3,4,2,4,,5,3,1,5,1,1,1,4,4,4
CTRL,BEFORE,2,4,4,1,1,5,1,1,5,1,1,1,5,5,2
CTRL,BEFORE,2,3,4,5,2,5,4,,5,3,4,2,1,5,4
CTRL,BEFORE,4,4,3,5,4,5,3,2,4,1,2,4,2,5,2
CTRL,BEFORE,3,3,2,3,4,5,,4,3,1,3,1,1,4,3
CTRL,BEFORE,1,4,4,5,1,5,3,1,5,1,4,2,1,4,2
CTRL,BEFORE,2,3,4,2,4,5,3,1,4,1,3,4,4,5,3
CTRL,BEFORE,2,4,4,3,1,5,3,5,5,1,2,3,2,4,3
CTRL,BEFORE,4,4,5,1,1,4,3,2,5,1,2,1,2,2,3
CTRL,BEFORE,2,5,2,5,1,5,3,1,4,3,3,2,1,2,4
CTRL,BEFORE,4,4,4,3,2,5,3,5,5,,4,3,3,1,3
CTRL,BEFORE,4,4,4,5,1,5,3,2,5,2,3,3,1,2,4
CTRL,BEFORE,1,4,3,4,4,4,2,5,5,1,2,4,1,3,2
CTRL,BEFORE,1,3,3,5,3,5,1,1,5,1,2,3,,4,3
CTRL,BEFORE,2,4,3,2,1,5,2,5,5,3,3,3,1,4,4
CTRL,BEFORE,3,5,4,5,2,4,4,5,4,1,2,3,1,4,4
CTRL,BEFORE,3,5,4,1,2,4,3,2,4,2,4,3,4,5,3
CTRL,BEFORE,3,4,3,2,2,4,2,1,5,2,3,1,2,5,2
CTRL,BEFORE,1,4,2,1,3,4,1,,2,1,1,2,1,3,3
CTRL,BEFORE,1,4,4,4,2,5,3,2,5,,2,4,3,5,2
CTRL,BEFORE,3,4,2,,4,5,3,1,5,3,4,1,5,5,2
CTRL,BEFORE,3,4,4,4,4,5,3,1,5,1,4,1,2,3,2
CTRL,BEFORE,3,4,5,1,4,5,4,1,5,5,5,2,2,5,4
CTRL,BEFORE,4,3,3,2,3,5,4,5,5,2,4,2,1,3,3
CTRL,BEFORE,4,1,5,5,2,4,1,5,5,1,3,1,1,4,4
CTRL,BEFORE,3,3,3,5,3,5,1,3,4,3,4,5,3,3,2
CTRL,BEFORE,2,5,2,3,1,3,3,1,1,2,2,3,1,5,3
CTRL,BEFORE,4,4,5,3,2,5,4,1,5,1,4,1,3,5,3
CTRL,BEFORE,2,5,4,2,2,4,3,1,5,1,3,2,3,4,4
CTRL,BEFORE,1,5,5,3,2,5,4,1,5,1,1,1,3,5,3
CTRL,BEFORE,3,5,3,3,3,4,4,2,5,4,5,1,1,4,2
CTRL,BEFORE,2,5,,1,3,5,4,1,4,1,4,1,3,5,4
CTRL,BEFORE,2,5,5,3,2,5,4,1,5,2,4,1,3,5,4
CTRL,BEFORE,3,3,1,2,,5,3,1,5,2,1,5,,3,4
CTRL,BEFORE,4,5,1,5,3,5,,,4,1,,1,5,1,3
CTRL,BEFORE,1,5,2,2,1,5,3,1,5,1,3,1,4,4,3
CTRL,BEFORE,4,5,2,5,1,5,3,1,5,1,4,2,1,4,3
CTRL,BEFORE,3,,5,4,4,4,3,5,5,1,4,1,1,1,3
CTRL,BEFORE,4,4,2,1,1,4,1,5,5,1,2,2,1,2,3
CTRL,BEFORE,4,4,1,4,,5,1,1,5,1,5,5,5,1,4
CTRL,BEFORE,4,4,4,5,2,5,4,1,5,1,3,2,2,1,4
CTRL,BEFORE,4,5,4,3,1,4,3,1,5,2,4,2,1,3,4
CTRL,BEFORE,4,4,2,5,1,5,3,1,5,1,2,2,1,5,2
CTRL,BEFORE,3,5,5,5,1,5,4,1,5,1,5,,5,5,4
CTRL,BEFORE,4,1,1,1,1,5,4,3,5,1,5,2,1,5,4
CTRL,BEFORE,4,3,2,5,1,5,3,5,5,1,2,3,1,2,3
CTRL,BEFORE,4,5,4,5,3,4,4,4,5,3,4,,3,3,3
CTRL,BEFORE,4,4,1,5,3,4,3,1,5,3,2,4,1,5,4
CTRL,BEFORE,2,4,2,1,1,3,1,5,5,1,3,2,1,5,4
CTRL,BEFORE,1,5,5,3,2,5,4,5,5,3,4,3,5,4,3
CTRL,BEFORE,2,5,4,3,4,5,2,2,5,1,3,5,3,4,3
CTRL,BEFORE,2,3,,1,1,5,,5,1,1,2,1,5,4,2
CTRL,BEFORE,4,5,1,1,3,5,1,1,1,1,2,1,2,5,1
CTRL,BEFORE,2,4,5,3,4,4,3,1,5,1,3,1,3,5,5
CTRL,BEFORE,1,4,2,1,1,5,4,1,5,1,4,2,2,2,5
CTRL,BEFORE,3,5,,1,4,5,4,5,5,1,5,,,1,5
CTRL,BEFORE,3,1,1,1,1,1,3,4,1,1,1,4,,1,1
CTRL,BEFORE,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5
CTRL,BEFORE,4,5,3,3,1,5,3,1,5,2,2,3,3,5,5
CTRL,BEFORE,1,4,2,5,2,5,4,5,5,2,2,4,3,1,5
CTRL,BEFORE,1,4,3,1,2,5,3,2,5,,3,2,3,3,5
CTRL,BEFORE,2,5,2,4,4,5,3,3,5,2,3,3,3,5,5
CTRL,BEFORE,1,3,3,3,3,5,2,2,5,1,5,3,3,3,5
CTRL,BEFORE,3,5,4,3,1,5,4,3,4,1,1,3,3,5,5
CTRL,BEFORE,2,4,3,3,1,5,3,4,5,3,3,3,2,4,3
CTRL,BEFORE,4,3,3,1,3,3,3,2,4,1,2,2,1,1,1
CTRL,BEFORE,2,1,1,1,4,1,1,5,1,1,1,5,5,1,5
CTRL,BEFORE,2,5,4,3,4,5,3,1,5,4,4,4,3,4,5
CTRL,BEFORE,3,5,1,1,1,2,4,5,5,1,1,2,1,1,5
CTRL,BEFORE,4,5,3,1,1,5,4,5,5,1,3,2,1,4,3
CTRL,BEFORE,4,5,3,1,1,5,4,5,1,1,3,2,1,4,3
CTRL,BEFORE,2,5,2,5,4,5,4,,5,4,1,5,1,4,5
CTRL,BEFORE,4,3,3,3,4,2,1,2,1,1,3,2,3,1,5
CTRL,BEFORE,1,3,1,5,1,5,3,1,5,4,3,3,1,4,3
CTRL,BEFORE,3,2,4,1,3,2,1,1,4,1,1,2,4,2,5
CTRL,BEFORE,3,2,1,,1,4,3,5,4,3,2,1,1,5,5
CTRL,BEFORE,1,3,1,2,1,3,3,4,3,4,2,5,3,3,3
CTRL,BEFORE,2,5,3,2,1,5,4,5,5,1,1,5,1,1,1
CTRL,BEFORE,2,5,1,5,2,5,3,5,5,3,1,1,3,1,1
CTRL,BEFORE,3,4,4,3,4,,3,1,5,2,3,3,3,4,4
CTRL,BEFORE,4,5,5,3,3,5,4,1,5,3,4,1,3,4,5
CTRL,BEFORE,1,3,3,5,3,5,2,1,5,2,5,5,1,1,5
CTRL,BEFORE,3,5,4,3,2,,4,5,5,3,4,3,3,2,3
CTRL,BEFORE,2,5,2,5,4,4,3,5,5,1,4,2,1,4,5
CTRL,BEFORE,1,5,4,3,4,5,3,1,5,4,3,3,4,3,5
CTRL,BEFORE,3,4,5,1,1,4,3,1,5,1,4,1,1,1,5
CTRL,BEFORE,3,3,3,5,4,4,2,2,5,2,4,4,1,2,3
CTRL,BEFORE,4,4,4,3,3,5,3,1,5,2,3,1,1,1,4
CTRL,BEFORE,4,5,5,5,4,5,4,5,5,4,5,5,5,5,5
CTRL,BEFORE,4,4,3,3,2,3,3,4,5,2,3,3,3,2,4
CTRL,AFTER,4,3,4,2,3,5,4,1,5,1,4,1,4,3,5
CTRL,AFTER,5,4,5,1,5,5,5,1,5,2,4,1,1,5,5
CTRL,AFTER,5,3,,4,,5,4,1,5,2,4,1,4,5,5
CTRL,AFTER,4,3,3,4,4,5,4,5,5,5,3,3,1,5,5
CTRL,AFTER,4,3,3,3,3,4,4,5,5,3,4,3,3,4,5
CTRL,AFTER,1,2,4,2,3,,1,,5,1,3,4,5,1,3
CTRL,AFTER,5,3,4,2,2,5,2,1,5,5,4,2,5,3,
CTRL,AFTER,3,3,2,,2,1,2,1,2,1,,1,1,1,2
CTRL,AFTER,4,4,3,2,,,2,3,,4,4,3,1,2,1
CTRL,AFTER,4,3,4,5,3,4,4,3,5,3,2,3,1,3,5
CTRL,AFTER,3,2,5,5,2,5,4,3,1,3,4,2,1,5,5
CTRL,AFTER,4,1,1,4,4,2,5,4,1,2,4,1,,4,2
CTRL,AFTER,5,4,4,3,4,5,4,1,5,4,2,1,3,4,5
CTRL,AFTER,3,3,,4,1,3,5,3,,,2,2,3,2,3
CTRL,AFTER,4,3,2,5,4,5,4,5,5,1,4,4,4,5,5
CTRL,AFTER,5,4,,1,5,5,,1,5,1,4,1,5,5,5
CTRL,AFTER,3,3,2,2,3,4,2,2,5,2,3,1,3,4,5
CTRL,AFTER,4,3,5,3,3,5,4,2,5,2,4,2,3,3,4
CTRL,AFTER,5,4,3,2,4,5,5,4,5,4,2,2,2,5,4
CTRL,AFTER,5,4,3,3,5,5,1,1,2,2,3,3,1,5,5
CTRL,AFTER,4,4,3,3,3,5,4,5,5,1,3,3,3,1,5
CTRL,AFTER,5,5,5,3,3,5,5,5,5,1,1,1,3,1,1
CTRL,AFTER,4,5,5,2,3,5,5,5,3,5,3,1,5,3,5
CTRL,AFTER,4,5,4,3,5,5,4,1,5,1,5,1,4,5,5
CTRL,AFTER,4,3,3,5,1,4,3,5,5,4,3,3,1,5,5
CTRL,AFTER,5,4,3,5,3,5,3,2,,5,1,1,5,3,5
CTRL,AFTER,4,5,4,3,2,4,2,4,2,4,2,2,,2,4
CTRL,AFTER,3,5,,5,5,4,3,5,5,5,5,5,5,5,3
CTRL,AFTER,3,4,3,,4,4,4,5,5,1,1,4,2,1,5
CTRL,AFTER,5,5,4,1,1,5,4,1,5,1,2,1,5,4,2
CTRL,AFTER,5,5,5,5,3,5,5,4,5,4,5,1,1,5,5
CTRL,AFTER,5,4,3,1,4,4,4,1,5,2,4,3,4,2,2
CTRL,AFTER,3,1,,,4,3,2,1,,,1,4,1,5,5
CTRL,AFTER,3,5,3,1,5,3,2,5,4,5,,4,,5,5
CTRL,AFTER,4,4,5,4,4,5,4,5,5,4,3,4,5,4,5
CTRL,AFTER,4,4,1,1,2,4,4,3,5,4,3,2,1,3,3
CTRL,AFTER,4,5,4,4,4,,3,5,5,4,3,1,2,4,4
CTRL,AFTER,5,4,3,1,5,5,3,1,5,1,3,3,4,5,5
CTRL,AFTER,5,3,3,2,3,5,4,5,,1,3,1,2,5,5
CTRL,AFTER,4,5,4,,4,2,5,1,4,4,4,1,4,,5
CTRL,AFTER,5,4,3,2,1,2,3,4,4,4,3,2,1,,4
CTRL,AFTER,3,3,3,3,3,4,5,3,3,3,3,3,1,3,3
CTRL,AFTER,4,5,4,3,4,3,3,4,3,5,4,3,1,5,5
CTRL,AFTER,4,4,2,2,1,4,4,5,1,1,2,1,1,4,3
CTRL,AFTER,3,4,2,5,3,4,2,1,4,1,4,2,2,1,4
CTRL,AFTER,1,4,2,5,1,5,4,1,3,5,5,5,1,3,3
CTRL,AFTER,4,3,2,3,3,5,3,4,4,4,3,4,3,4,3
CTRL,AFTER,4,5,5,2,5,5,5,4,5,5,4,5,5,,3
CTRL,AFTER,4,4,2,2,4,5,5,2,5,2,2,2,4,2,3
CTRL,AFTER,5,5,5,4,5,5,4,2,4,3,4,3,2,,4
CTRL,AFTER,4,5,5,5,1,5,4,1,5,4,4,3,1,3,4
CTRL,AFTER,5,4,2,,2,5,4,4,5,5,4,2,1,5,3
CTRL,AFTER,4,2,4,5,1,5,2,2,4,5,4,4,1,5,3
CTRL,AFTER,4,1,3,,3,,2,1,4,,1,2,1,4,1
CTRL,AFTER,3,3,3,4,3,5,4,2,4,1,3,3,1,3,5
CTRL,AFTER,4,3,2,2,4,5,2,2,5,5,1,3,4,1,5
CTRL,AFTER,5,4,3,3,1,2,3,4,5,1,2,4,2,2,4
CTRL,AFTER,1,5,2,1,5,5,,,5,1,4,1,2,1,2
CTRL,AFTER,2,4,,3,4,5,5,3,1,1,5,1,1,5,5
CTRL,AFTER,2,4,2,1,4,4,4,1,5,4,2,2,1,5,4
CTRL,AFTER,5,4,2,1,1,4,4,4,5,4,2,2,1,2,2
CTRL,AFTER,1,4,3,5,3,5,4,2,5,1,4,1,1,2,4
CTRL,AFTER,3,5,4,2,5,5,2,1,5,1,3,5,4,5,5
CTRL,AFTER,3,5,5,5,1,5,5,1,5,1,2,2,1,2,5
CTRL,AFTER,4,5,4,1,3,5,5,1,5,1,3,1,3,5,5
CTRL,AFTER,1,4,4,4,4,4,4,4,4,3,3,3,1,3,3
CTRL,AFTER,5,5,5,3,5,5,5,1,5,1,3,3,3,3,5
CTRL,AFTER,3,5,1,1,5,1,1,1,5,1,1,1,5,5,1
CTRL,AFTER,1,4,4,2,5,4,4,4,4,2,4,2,2,3,5
CTRL,AFTER,1,4,3,1,5,5,3,5,5,4,3,4,1,3,4
CTRL,AFTER,4,5,3,2,4,5,5,4,5,5,3,3,4,5,5
CTRL,AFTER,4,5,3,3,1,5,4,4,5,3,3,3,4,5,5
CTRL,AFTER,4,4,2,5,3,4,1,4,1,3,3,1,3,3,
CTRL,AFTER,2,4,4,3,5,5,4,1,5,1,3,2,3,4,5
CTRL,AFTER,2,4,3,3,3,5,3,3,5,3,3,2,3,3,5
CTRL,AFTER,1,4,1,3,5,3,4,5,5,1,4,5,3,1,1
CTRL,AFTER,4,4,4,5,5,4,4,2,5,3,2,2,1,1,4
CTRL,AFTER,2,4,4,3,2,3,3,4,4,4,4,3,2,3,3
CTRL,AFTER,1,3,3,3,3,2,2,3,4,3,3,,,3,4
CTRL,AFTER,4,5,4,3,4,5,5,5,5,3,3,2,3,5,5
CTRL,AFTER,1,1,1,5,1,2,2,1,5,2,1,1,1,4,1
CTRL,AFTER,3,5,4,1,5,5,4,1,5,4,4,2,5,5,5
CTRL,AFTER,5,5,4,4,5,5,5,5,4,4,2,4,4,5,4
CTRL,AFTER,4,4,4,4,4,3,3,5,4,5,1,2,4,4,4
CTRL,AFTER,5,1,1,1,5,1,1,1,1,5,1,5,5,1,1
CTRL,AFTER,3,3,3,5,3,3,4,1,5,5,3,5,1,5,5
CTRL,AFTER,1,5,1,1,5,5,5,1,5,1,1,1,1,5,5
CTRL,AFTER,3,1,1,5,3,5,5,1,5,2,1,5,1,1,4
CTRL,AFTER,4,4,4,1,1,4,4,1,5,4,4,2,1,5,5
CTRL,AFTER,1,1,3,3,3,4,3,5,3,2,3,3,3,2,2
CTRL,AFTER,2,3,2,3,2,3,4,3,3,2,1,1,2,,
CTRL,AFTER,1,2,3,4,2,3,5,1,5,5,1,3,1,5,5
CTRL,AFTER,2,4,1,3,4,5,2,2,5,1,2,1,4,2,5
CTRL,AFTER,3,3,4,3,3,4,4,3,4,3,3,2,3,3,3
