Grupo,O trabalho do cientista parece ser divertido,Eu gosto de aulas de Ciências,Eu sou bom em Ciências,Eu o quero ser cientista no futuro,Eu provavelmente irei fazer algum curso de Ciências  faculdade,As aulas de Ciências que tenho na escola me ajudarao no futuro,Eu geralmente entendo o que e ensinado nas materias de Ciências,Aprender coisas novas nunca vai mudar a sua inteligencia,Eu posso ficar mais inteligente se estudar bastante,Só alunos muito bons irao para algum curso de Ciências na faculdade,Eu vou bem nas matérias de Ciências porque sou inteligente,Eu não vou bem nas matérias de Ciências porque nãoo sou inteligente,Eu quero ser um cientista no futuro,"Para mim, é mais importante aprender novas coisas nas aulas do que tirar boas notas nas provas",Entender aquilo que é ensinado é mais importante do que decorar o que é ensinado,Os cientistas precisam educar frequentemente o público geral em relação a questões importantes,Os cientistas normalmente trabalham em equipe,Os cientistas normalmente se relacionam bem com o público geral,Os cientistas o recebem salários altos,Os cientistas normalmente são pobres finceiramente,É dificil conseguir um emprego de cientista,Os cientistas são pessoas anti-sociais,Os cientistas sao pessoas tediosas
EXP.ANTES,3,4,3,4,4,4,5,,5,3,4,1,3,4,5,4,3,4,2,2,4,3,3
EXP.ANTES,2,4,5,1,5,5,2,1,5,2,,1,5,1,5,4,5,3,,1,,5,1
EXP.ANTES,4,3,1,3,5,5,5,5,5,3,3,3,4,5,5,5,5,5,3,3,5,3,5
EXP.ANTES,3,4,4,3,1,5,2,4,5,2,2,3,1,3,5,3,4,4,4,3,5,2,3
EXP.ANTES,4,4,3,4,5,5,4,3,5,1,4,3,4,3,4,4,3,5,3,1,4,3,3
EXP.ANTES,5,4,2,5,4,4,1,1,2,1,1,5,1,5,5,4,4,4,1,1,5,5,5
EXP.ANTES,4,4,4,3,3,4,4,5,5,4,4,1,3,1,1,4,3,3,3,3,3,3,1
EXP.ANTES,4,5,3,1,4,5,4,5,5,3,2,2,1,5,5,3,5,3,5,5,5,3,3
EXP.ANTES,5,5,4,3,3,4,5,2,5,3,4,1,3,5,5,3,4,4,2,2,3,3,1
EXP.ANTES,5,5,5,5,1,5,5,1,5,2,4,2,1,1,5,1,5,3,3,3,4,3,3
EXP.ANTES,4,5,3,2,1,5,3,1,5,1,3,1,2,5,5,,3,3,2,1,4,4,1
EXP.ANTES,4,3,4,3,4,4,1,5,2,4,2,2,2,2,5,3,5,4,2,1,3,2,2
EXP.ANTES,5,5,5,2,5,5,5,,5,5,4,1,2,2,5,4,4,2,3,1,3,4,1
EXP.ANTES,5,5,5,1,4,5,5,,,4,,1,5,1,5,3,5,5,3,3,,3,3
EXP.ANTES,5,5,3,4,5,4,4,3,5,1,3,1,4,3,5,4,3,3,1,1,4,1,1
EXP.ANTES,4,5,4,5,4,5,5,5,5,1,1,1,2,5,5,4,5,5,4,1,5,3,1
EXP.ANTES,3,5,1,1,1,5,5,5,5,5,1,1,1,1,5,5,3,3,1,1,5,1,1
EXP.ANTES,,,4,4,,,4,,4,,,4,,,4,,4,4,4,,4,,
EXP.ANTES,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
EXP.ANTES,1,2,3,5,5,5,4,1,5,1,2,2,1,5,5,5,4,5,3,1,5,3,4
EXP.ANTES,4,1,1,1,4,5,4,2,5,2,1,1,1,5,5,4,2,4,3,3,4,1,5
EXP.ANTES,5,5,5,1,4,5,5,1,5,4,1,1,5,5,5,5,5,5,5,1,5,1,1
EXP.ANTES,4,5,3,1,5,5,4,4,5,2,3,1,1,5,5,5,4,3,3,1,3,1,2
EXP.ANTES,5,5,3,1,4,5,4,,5,2,3,3,4,5,5,4,4,5,3,1,2,1,1
EXP.ANTES,5,3,1,1,1,5,4,1,,5,3,3,1,5,5,5,3,3,3,3,5,3,3
EXP.ANTES,5,5,4,2,4,4,5,5,5,2,4,2,4,4,5,5,5,4,4,3,5,1,1
EXP.ANTES,5,4,3,5,3,5,4,1,5,3,2,2,1,3,5,4,4,3,3,3,3,1,1
EXP.ANTES,5,2,1,1,1,2,4,3,5,5,2,4,1,5,4,5,5,4,1,1,5,1,1
EXP.ANTES,3,4,4,3,4,5,4,5,5,4,3,3,3,4,3,4,5,5,5,,5,3,2
EXP.ANTES,3,4,4,3,3,4,4,1,5,4,3,3,3,3,5,4,4,3,2,1,3,2,1
EXP.ANTES,5,4,3,3,3,3,2,1,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3
EXP.DEPOIS,4,4,3,5,1,4,4,5,4,3,4,2,1,4,5,3,5,5,3,2,4,2,4
EXP.DEPOIS,4,5,4,5,1,2,4,5,4,2,4,,1,4,5,4,3,4,3,3,4,1,1
EXP.DEPOIS,5,5,4,4,4,5,4,1,5,4,4,2,1,4,4,5,4,2,1,1,1,1,1
EXP.DEPOIS,5,5,4,1,5,5,4,1,5,4,4,2,4,5,5,2,4,1,4,4,4,2,1
EXP.DEPOIS,5,4,4,3,2,4,4,2,5,2,4,1,3,3,3,5,5,5,2,1,3,1,1
EXP.DEPOIS,5,5,5,1,5,5,5,5,5,3,,4,1,1,5,5,4,5,1,1,5,1,1
EXP.DEPOIS,5,4,4,3,4,4,4,1,5,4,3,3,3,3,5,3,5,3,5,1,1,1,1
EXP.DEPOIS,5,5,5,1,4,5,5,1,5,1,1,4,4,5,5,5,5,5,1,1,1,1,1
EXP.DEPOIS,4,3,5,3,3,4,4,4,5,3,4,3,3,5,3,4,4,3,3,3,3,3,3
EXP.DEPOIS,5,1,5,2,4,3,1,4,1,3,1,3,2,3,1,1,2,3,2,3,2,5,3
EXP.DEPOIS,5,5,4,3,4,5,5,5,5,3,5,3,3,5,5,4,4,5,3,1,3,,2
EXP.DEPOIS,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
EXP.DEPOIS,5,4,4,4,4,5,3,2,4,1,,,4,3,4,4,5,3,2,2,3,1,2
EXP.DEPOIS,4,5,4,4,5,4,4,1,5,1,3,3,5,4,4,4,5,4,1,2,2,2,2
EXP.DEPOIS,5,3,3,5,5,5,3,2,3,3,3,4,5,3,4,4,5,4,3,3,1,1,1
EXP.DEPOIS,4,3,3,5,5,4,3,1,5,2,1,4,4,4,5,4,5,4,3,1,2,1,1
EXP.DEPOIS,4,4,3,5,5,5,2,1,5,2,2,3,4,2,5,4,5,5,2,2,2,2,2
EXP.DEPOIS,4,5,4,5,5,4,4,1,5,3,3,2,3,4,5,4,5,5,5,2,1,2,2
EXP.DEPOIS,5,3,4,5,5,4,5,1,5,5,4,1,4,3,5,5,5,4,4,2,3,1,2
EXP.DEPOIS,5,4,5,5,4,5,4,2,3,4,5,1,3,2,5,5,5,3,3,2,2,1,1
EXP.DEPOIS,5,4,3,5,3,4,3,3,4,3,5,1,3,2,4,5,5,3,3,3,4,1,3
EXP.DEPOIS,5,5,4,5,3,5,3,3,3,2,4,1,3,4,4,5,5,2,1,5,2,1,1
EXP.DEPOIS,5,5,4,5,4,4,2,4,3,1,5,1,2,2,4,5,5,2,3,3,3,1,2
EXP.DEPOIS,5,4,3,5,5,4,5,2,5,1,,,2,2,4,3,5,1,3,3,2,1,1
EXP.DEPOIS,5,3,3,5,4,4,5,2,4,1,3,3,4,4,4,1,4,5,2,2,1,1,1
EXP.DEPOIS,4,3,4,5,3,3,4,3,3,2,4,2,4,4,5,3,4,4,5,3,1,1,1
EXP.DEPOIS,4,2,5,5,3,3,3,2,3,3,5,2,4,3,4,4,4,5,4,4,1,1,1
EXP.DEPOIS,4,3,5,4,3,2,2,1,5,2,5,2,4,4,4,2,5,5,3,3,2,1,1
EXP.DEPOIS,4,4,4,4,4,5,3,1,5,2,4,2,4,4,4,5,5,5,3,3,2,1,2
EXP.DEPOIS,4,4,4,4,5,5,3,1,5,3,4,2,4,5,5,5,5,4,3,2,2,1,1
EXP.DEPOIS,4,4,4,3,5,4,4,1,5,2,3,3,5,5,4,5,4,5,1,5,3,1,2
CTRL.ANTES,5,4,4,3,4,5,4,1,5,1,4,2,4,3,5,4,4,3,2,2,4,2,2
CTRL.ANTES,4,4,5,4,4,5,4,4,5,4,4,2,4,3,4,5,4,5,5,4,4,2,2
CTRL.ANTES,4,5,4,4,4,5,4,1,5,1,4,1,4,1,1,5,4,4,3,1,4,2,1
CTRL.ANTES,5,4,4,3,3,5,4,5,5,3,4,2,2,2,2,3,4,2,5,1,2,2,3
CTRL.ANTES,3,5,4,4,3,5,4,1,5,2,2,1,2,3,4,3,4,3,1,1,5,2,3
CTRL.ANTES,5,4,2,5,3,5,5,4,5,Marcou duas ,3,3,1,4,5,4,5,5,3,1,1,5,4
CTRL.ANTES,5,2,1,4,4,5,2,5,5,1,2,1,4,1,5,5,5,4,1,1,2,1,1
CTRL.ANTES,4,3,3,2,4,4,3,5,5,5,3,3,1,5,5,3,4,2,2,3,5,3,3
CTRL.ANTES,5,4,5,2,5,,4,,5,3,4,2,3,3,5,2,4,4,1,1,2,1,1
CTRL.ANTES,4,5,5,2,5,5,4,1,5,1,4,1,4,4,1,5,4,4,1,1,5,5,1
CTRL.ANTES,5,4,4,,5,5,5,5,5,5,5,,1,5,5,5,4,4,4,,4,4,1
CTRL.ANTES,4,,1,4,5,5,1,3,4,,4,3,4,,4,s/resposta,2,3,4,2,5,5,4
CTRL.ANTES,5,1,1,1,5,5,5,1,5,1,1,1,5,1,5,5,,5,5,1,5,5,5
CTRL.ANTES,4,4,5,1,,4,,4,5,,5,,1,4,4,4,5,2,,1,4,,
CTRL.ANTES,5,5,5,3,4,5,5,5,5,4,4,1,3,5,5,5,4,3,4,4,2,3,1
CTRL.ANTES,5,5,4,5,1,4,4,1,5,1,3,3,1,5,5,4,5,4,5,1,4,4,1
CTRL.ANTES,3,,3,1,2,4,1,1,4,1,4,1,1,2,1,1,2,1,1,1,2,4,1
CTRL.ANTES,5,5,5,3,5,5,5,1,5,4,4,1,5,5,5,5,5,,4,3,3,3,1
CTRL.ANTES,4,5,3,5,5,5,4,4,1,5,4,5,1,4,5,4,3,4,3,3,3,2,1
CTRL.ANTES,3,1,5,4,2,4,3,1,5,4,4,2,1,1,5,3,3,3,1,1,5,4,4
CTRL.ANTES,5,4,3,3,3,5,4,5,5,3,4,2,3,5,5,4,3,3,4,3,4,3,3
CTRL.ANTES,4,5,4,1,4,4,4,1,5,2,4,1,1,4,5,4,5,3,1,1,3,2,3
CTRL.ANTES,4,5,5,1,3,4,4,1,5,4,4,1,1,2,4,5,4,4,3,1,5,1,3
CTRL.ANTES,5,5,5,1,4,5,5,1,5,4,1,1,5,5,5,5,5,5,5,1,5,1,1
CTRL.ANTES,4,5,3,1,5,5,4,4,5,2,3,1,1,5,5,5,4,3,3,1,3,1,2
CTRL.ANTES,5,5,3,1,4,5,4,,5,2,3,3,4,5,5,4,4,5,3,1,2,1,1
CTRL.ANTES,5,3,1,1,1,5,4,1,,5,3,3,1,5,5,5,3,3,3,3,5,3,3
CTRL.ANTES,5,5,4,2,4,4,5,5,5,2,4,2,4,4,5,5,5,4,4,3,5,1,1
CTRL.ANTES,5,4,3,5,3,5,4,1,5,3,2,2,1,3,5,4,4,3,3,3,3,1,1
CTRL.ANTES,5,2,1,1,1,2,4,3,5,5,2,4,1,5,4,5,5,4,1,1,5,1,1
CTRL.ANTES,3,4,4,3,4,5,4,5,5,4,3,3,3,4,3,4,5,5,5,,5,3,2
CTRL.ANTES,3,4,4,3,3,4,4,1,5,4,3,3,3,3,5,4,4,3,2,1,3,2,1
CTRL.ANTES,5,4,3,3,3,3,2,1,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3
CTRL.DEPOIS,4,5,4,2,3,5,4,1,5,1,4,1,4,3,5,5,4,4,1,1,5,3,1
CTRL.DEPOIS,5,5,5,1,5,5,5,1,5,2,4,1,1,5,5,5,5,3,3,3,3,1,1
CTRL.DEPOIS,5,5,,4,,5,4,1,5,2,4,1,4,5,5,5,4,5,1,1,4,1,1
CTRL.DEPOIS,4,3,3,4,4,5,4,5,5,5,3,3,1,5,5,3,4,3,4,3,5,3,3
CTRL.DEPOIS,4,5,3,3,3,4,4,5,5,3,4,3,3,4,5,3,3,4,3,3,3,2,2
CTRL.DEPOIS,1,2,4,2,3,,1,,5,1,3,4,5,1,3,1,4,2,4,1,5,4,5
CTRL.DEPOIS,5,4,4,2,2,5,2,1,5,5,4,2,5,3,,4,4,4,5,1,5,5,5
CTRL.DEPOIS,3,1,2,,2,1,2,1,2,1,,1,1,1,2,1,2,,1,2,1,3,1
CTRL.DEPOIS,4,4,3,2,,,2,3,,4,4,3,1,2,1,,3,2,3,,,4,4
CTRL.DEPOIS,4,3,4,5,3,4,4,3,5,3,2,3,1,3,5,4,3,4,4,3,4,2,3
CTRL.DEPOIS,3,4,5,5,2,5,4,3,1,3,4,2,1,5,5,3,2,1,1,1,2,4,3
CTRL.ANTES,4,5,4,2,4,5,4,1,5,5,4,5,4,4,5,4,5,5,3,1,4,2,2
CTRL.ANTES,4,5,4,3,3,5,4,2,5,2,4,2,3,3,4,4,4,4,3,2,4,2,4
CTRL.ANTES,5,4,4,2,1,5,4,5,5,1,,1,4,1,5,2,5,4,4,2,4,4,1
CTRL.ANTES,5,5,3,3,3,5,5,5,5,5,1,,,5,5,4,5,3,1,1,1,1,2
CTRL.ANTES,4,5,4,1,5,5,4,5,5,1,1,1,5,5,4,5,5,2,2,2,4,5,2
CTRL.ANTES,4,5,4,4,5,5,4,1,5,4,4,2,4,4,5,5,5,4,1,1,3,3,3
CTRL.ANTES,5,4,3,5,3,5,5,5,5,2,4,4,4,4,5,5,5,4,3,1,5,4,3
CTRL.ANTES,5,5,2,4,,5,4,1,5,1,1,1,4,4,5,5,4,3,3,1,4,2,2
CTRL.ANTES,5,5,4,1,1,5,2,1,5,1,1,1,5,5,2,5,5,5,5,2,3,1,1
CTRL.ANTES,5,4,4,5,3,5,5,,5,4,4,2,1,5,5,4,5,4,3,1,4,3,1
CTRL.ANTES,5,5,3,5,5,5,4,2,4,1,2,4,2,5,1,5,4,5,,1,5,4,1
CTRL.ANTES,5,4,2,3,5,5,,4,3,2,3,1,1,4,5,5,5,5,4,3,4,4,3
CTRL.ANTES,2,5,4,5,2,5,4,1,5,2,4,2,1,4,2,2,4,4,2,2,4,4,2
CTRL.ANTES,5,4,4,2,5,5,4,1,4,2,3,4,4,5,5,4,3,5,5,1,5,1,1
CTRL.ANTES,5,4,4,3,2,5,4,5,5,1,2,3,2,4,5,4,2,2,1,1,5,1,1
CTRL.ANTES,5,4,5,1,2,4,4,2,5,2,2,1,2,2,4,4,4,5,2,1,2,2,1
CTRL.ANTES,2,5,2,5,2,5,4,1,4,4,3,2,1,2,5,4,5,2,1,1,5,3,2
CTRL.ANTES,4,4,4,3,3,5,4,5,5,,4,3,3,1,4,3,5,4,3,2,3,2,2
CTRL.ANTES,4,4,4,5,2,5,4,2,5,3,3,3,1,2,4,5,4,4,3,3,3,4,4
CTRL.ANTES,3,4,3,4,5,4,3,5,5,1,2,4,1,3,5,5,4,5,1,1,5,1,1
CTRL.ANTES,4,3,3,5,4,5,2,1,5,1,2,3,,4,5,5,2,3,3,1,5,2,4
CTRL.ANTES,4,4,3,2,1,5,3,5,5,4,3,3,1,4,4,5,5,5,1,1,4,5,2
CTRL.ANTES,4,5,4,5,3,4,5,5,4,2,2,3,1,4,5,5,4,4,3,2,2,1,1
CTRL.ANTES,5,5,4,1,3,4,4,2,4,3,4,3,4,5,5,3,5,4,3,3,3,2,2
CTRL.ANTES,3,4,3,2,3,4,3,1,5,3,3,1,2,5,5,5,4,3,3,1,3,2,1
CTRL.ANTES,4,4,2,1,4,4,2,,2,2,1,2,1,3,3,5,3,5,3,1,5,1,1
CTRL.ANTES,5,5,4,4,3,5,4,2,5,,2,4,3,5,3,1,3,4,3,5,3,5,3
CTRL.ANTES,5,5,2,,5,5,4,1,5,4,4,1,5,5,5,5,5,5,1,1,5,1,1
CTRL.ANTES,4,5,4,4,5,5,4,1,5,1,4,1,2,3,5,4,4,5,1,1,4,1,1
CTRL.ANTES,5,5,5,1,5,5,5,1,5,5,5,2,2,5,2,5,5,5,2,2,5,5,5
CTRL.ANTES,4,5,3,2,4,5,5,5,5,3,4,2,1,3,1,5,3,4,3,1,3,3,3
CTRL.ANTES,3,1,5,5,3,4,1,5,5,1,3,1,1,4,5,4,,1,1,1,5,3,4
CTRL.ANTES,4,3,3,5,4,5,2,3,4,4,4,5,3,3,4,4,5,4,3,3,3,4,4
CTRL.ANTES,5,5,2,3,2,3,4,1,1,3,2,3,1,5,3,4,1,5,3,1,3,1,4
CTRL.ANTES,5,4,5,3,3,5,5,1,5,1,4,1,3,5,5,5,5,1,1,1,2,3,1
CTRL.ANTES,1,5,4,2,3,4,4,1,5,1,3,2,3,4,5,4,3,4,5,3,4,1,1
